,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
A,,ABs,Air Conditioner,ADvertisement,AEroplane,AFro,AG (silver),"AHa (band, take on me)","AI (artificial Intelligence, I Robot or chatgpt)",AJ pinkerton (live action purple guy fnaf),AK-47,AL (aluminium),AM (time ante meridian),ANne shirley,AOrta,APple,AQua (konosuba),ARrrrr (pirate),ASs (keijo),AT (@),AU (gold),AV cables (audio video red white yellow cable),AWwwww (something cute like a small cat),AXe (eg: re zero arc 7)
B,BAnana,,BiC lighter,BeD,BEe,BeeF,BuG,BHutan,BIkini,BlowJob,BooK,Ball,BooM (reze),BiN (green trash bin),Bo Burnham,BoP it,BbQ,Bear,BuS (red double decker),BaT (animal),BUU (dragon ball),Beaver,BoW (archer`,BoX (cardboard box)
C,CAnada ,CraB,,CD (compact disk),CEment,CoFfee,CiGarette ,CHili (spice),CIa (cia agent),Chicken Jockey (baby zombie riding a chicken),CaKe,Chlorine,CaMera,China,Coconut,CoP,CyndaQuil,CaR,Cross (cube),CaT,copper,Cave,Cow,CrucifiX (symbol or constellation)
D,DAd (maes hughes),DaB (dance),DC (comics),,DEer,DooF (phineas and ferb),DoG,DougH,"DIe (memento mori, dies irae)",DJ,DicK,DDLC,DoMino,DoNut (torus),Dodo bird,Dr Pepper,DelinQuent,Doctor,nintendo DS,DiTTo,mt dew,Domestic Violence,DWarf,Dex or Dexter (pokemon)
E,EA sports,Eye Ball,EClair,"ED (viagra, rudeus mushoku)",,ElF (frieren),EGg,EartH (globe or marble),Eiffel Tower,edge (polyhedra),EsKimo,Elsa (re zero),EMinem,envelope (licking to seal),"EO (edge orientation, imagine L or bar f sexy f’ or f unsexy f’)",EPipen,EarthQuake,Ear,ESpeon (pokemon),ET,europe,Evee (pokemon),Eww (disgust),EXcel (ms office)
F,FAnta,FaceBook,Fidel Castro (FasCist),FeDora (mlady),FE (iron),,FroG,FisH (FiH),phi (golden ratio),Fiji (island or smthn),ForK (utensil),Phil (cubicle),FM radio,FaN,PHO (food),FaP,FarQuaad,FRance,Frank Sinatra (fly me to the moon),FeeT (rukia feet hangout),Fuck You (middle finger),FV (five numberjacks),FireWorks,Fox
G,GAtorade,Game Boy,GigaChad,GoD,GEnie (alladin),GarF (re zero),,GotH (aesthetic),GI (karate uniform),GoJo (jjk),GoKu,OpenGL,GuM,GuN,GO (board game),GooP,Guac (guacamole),GRape,GuS,"GiT (torvalds, version control imagine branches)",GlUe (superglue),"Gavel (jjk, higuruma)",GWen,GX (gx pokemon cards)
H,HAhahahahahhaha,HB pencil (blue staedtler),HeliCopter,Hot Dog,HE (helium balloon),Heavens Feel (sakura worms fate),HG (mercury),,HAIIIIIIIII :3C >W< (text message),HandJob,HooK,"Hal (malcom in the middle, bryan cranston)",Hatsune Miku,Hentai (girl from shimoneta doing sus stuff),HO-OH (pokemon),HiPpo,Harley Quinn,HaiR,Homer Simpson,HiTler,Who is <PLACEHOLDER>? (rui arneb re zero),Hive,Hot Wheels,Hacks (hacking)
I,IAn (smosh),IBuprofen (i have a headache do you have ibuprofen),Integrated Circuit (TSMC),ID card (government id),Internet Explorer,InFerno,IGloo,pancackes (IHop),,InkJet,IKea,ILL (sick person),IM (Levy Rozman),INdia,IO (IO shield),IP address,"IQ (bell curve, todo jjk)","Infrared (remote, blaster)",isis,it (clown),IU (singer),Ivy,Idubbz,Ishtar (fate)
J,JA (german person saying yes),Justin Bieber ,Jackie Chan,Jack Daniels (that one whiskey),JEe (exam),JellyFish,JenGa,Jabba the Hutt ,Jiro (heaphone girl mha),,"Joshi Kousei (highschool girl, I think of miru tights personally)",Jail ,JaM (edible),JoN (garfield),JoJo (jotaro),Japan,Joker (batman),Jar Jar,Jesus,JolTeon,JUpiter,Javelin,JeW,JaX (tadc)
K,KAyak,KeyBoard (model m),KetCHup,KiD (small child),KEy,KaFka,KiloGramme (IPK or le grand k),Kikuri Hiroi,Kiki (Kiki’s delivery service),KaiJu (godzilla),,Kill (all you need is kill keiji),Kian Mansour (buff roux guy),,Knock Out (boxing),Kappa,Killer Queen (daisan no bakudan),Korea (nahm),Kiss,kit kat,KKK,Kevin,Kiwi,KleeneX (wipes)
L,Los Angeles,LadyBug,LaCe or LaCey,LuDo,LEmon,LeaF,LG (company),Light House,Lithium (lipo battery),Lebron James (you are my sunshine),LocK,,LlaMa (spitting),natural log ln,Loli (maho hiyajo),Linkin Park (chester),LepreCHaun (green with greed),Liar (burning pants),Lasso,Lotus,LUbe (weight 5),Lava,Lawyer (ace attorney),Latex
M,MArio,MoB (psycho 100),MineCraft,MaiD,MEth,MuFfin,MeGumin (konosuba),MoHawk,Mii (nintendo),Micheal Jackson,Makise Kurisu,Mona Lisa,,MooN,MOm (fmab trisha),MaP,ManneQuin,Mirror,Messi,Mountain,Mew (pokemon),MicroWave,"Maw (kensuke ushio ost, also the noun)",Max Park
N,NA (Sodium salt),Note Block,NaCHos,Nod Don (blindfold falling),NEon,NerF (toy),NuGGet,NoaH,knights who say NI (monty python),NinJa,NoKia (3310),Nails (metal or human),NaMi (one piece),,NarutO,NiPple,NesQuik/NyQuil,Near,Nas (network storage),Nat 20 (d20),Nun,Envy (fmab),Newspaper,NiXon
O,OAtmeal,OBi wan kenobi,OC (Original Character),ODdish,OrEo,OFfice (micheal scott),OGre,"OH (sound, teruhashi)",OI (australian guy saying OI),Orange Juice (glass of OJ or imagine the youtuber),OaK (pokemon),OL (jp slang for office lady),OM (mantra),ON (switch),,Oppenheimer,Ock (otto octavius),ORigami,osama,otter,Ouroboros (snake eating its own tail),Oven,Owl,OniX
P,PAnda,Peanut Butter,Personal Computer (thinkpad x230),PuDding,PEpe,PowerpuFf girls,PenGuin,litmus paper (PH),PI (pie or 3.1415926…..),PaJama,PucK (what does he even do),Pill,PoMni (tadc),PianO,PO ( kungfu panda),,Porcupine,Pear (fruit),ps3,Potato,Pooh (disney),PVC pipe,Power (csm),"PiXel (rgb physical pixel, or pixel art)"
Q,Q and A (question answer),Quarter Back (idk some burly american footballer),Quantum Computing,QuiD (one british pound),Queen Elizabeth,QuaFfle (harry potter),QuaG (pokemon),Queen of Hearts (card or alice in wonderland),QI (wireless charging),sQueeGEE,"QuaKe (fast inverse square root, normals)",Quill (writing instrument),QuasiModo (hunchback),Qur’an (holy book),QuOte,Kewpie (mayo),,QR (QR code),quicksand,Qtip,QUeue,quaver (music note),Qwop (akward running),QuiX (cereal)
R,RA (egyptian god of sun),RuBy (gemstone),Rubik’s Cube,R2D2,"RE (prefix, anime titles)",ReFeree,RuG,RHino,RIce (hanate ryan higa),ethernet (RJ45),Rock,Rail (train tracks),RaM (re zero),RiN (tohsaka),Rowe (hessler),RoPe,RayQuaza,,Rose,RaT,"RU (russia, drunk anime girl in military clothes)","RV (vehicle, ben10)",Rainbow,ReX (man of action)
S,SAnta,SaBer (SeiBa from fate),SCorpion,SD (SD card),SEal,San Francisco (golden gate bridge),Steins;Gate,SHell,"SIri (apple, the noise when you launch siri)",Steve Jobs,Sock,Sal (impractical jokers),SuMo,SuN,SOap,SPoon,Squan,excuse me SiR (billy butcher),,Star (clannad fuuko),Sus (amogus),SV (synth v kasane Teto),Sebastien Weyer,SeX (takeshi running down a tunnel)
T,TAnya (youjo senki),ToBy (that one dog in undertale),Terry Crews,TeDdy bear,TEa,ToPh (earthbender),TiGer,THanos,tie,TaJ mahal,Tick ,Taylor,ToM (tom and jerry),ToN (heavy weight),TomatO,Toilet Paper,TeQuila,TRee,Tung Sahur,,pink tutu,TeleVision (CRT tv),TupperWare,TeXas (s
